X1,X2,X3,X4,X1.1,X2.1,X3.1,X4.1,X1.2,X2.2,X3.2,X4.2,X1.3,X2.3,X3.3,X4.3,X1.4,X2.4,X3.4,X4.4
0.177284188,0.177266843,0.177266843,0.177266843,0.194749272,0.194746692,0.194746692,0.194746692,0.205309635,0.205310238,0.205310238,0.205310238,0.211872853,0.211872853,0.211872853,0.211872853,0.216233299,0.216233299,0.216233299,0.216233299
0.17736985,0.177361158,0.177361158,0.177361158,0.194823774,0.194823774,0.194823774,0.194823774,0.205382358,0.205382358,0.205382358,0.205382358,0.211941662,0.211941662,0.211941662,0.211941662,0.216305958,0.216305958,0.216305958,0.216305958
0.17742186,0.177410974,0.177410974,0.177410974,0.19488457,0.19488457,0.19488457,0.19488457,0.205441986,0.205441986,0.205441986,0.205441986,0.211997696,0.211997696,0.211997696,0.211997696,0.216356963,0.216356963,0.216356963,0.216356963
0.177457328,0.177447925,0.177447925,0.177447925,0.194957158,0.194957158,0.194957158,0.194957158,0.205499516,0.205499516,0.205499516,0.205499516,0.212045452,0.212045452,0.212045452,0.212045452,0.216404471,0.216404471,0.216404471,0.216404471
,,,,,,,,,,,,,,,,,,,
gamma,cost,eps,,,,,,,,,,,,,,,,,
1,"40,70,100",0.001,,,,,,,,,,,,,,,,,
