,X1,X2,X3,X4,X1.1,X2.1,X3.1,X4.1,X1.2,X2.2,X3.2,X4.2,X1.3,X2.3,X3.3,X4.3,X1.4,X2.4,X3.4,X4.4
1,0.127141244,0.135200392,0.139603672,0.145952377,0.129053072,0.137117466,0.141379856,0.144942526,0.134802999,0.139014642,0.142020308,0.14461797,0.139449645,0.142125961,0.144729132,0.146465484,0.143375374,0.145723168,0.147207041,0.14806181
2,0.127085671,0.134741898,0.139516646,0.145797646,0.129069901,0.137121463,0.141303466,0.144986448,0.135037955,0.139230726,0.142321768,0.144923507,0.139716832,0.14285864,0.145233656,0.146811823,0.144008729,0.146582246,0.147931326,0.148814321
3,0.127166778,0.134248773,0.139307698,0.144710092,0.128969242,0.13668419,0.140751258,0.144126567,0.13522227,0.139435949,0.14247389,0.144799851,0.13979292,0.143012074,0.145420478,0.146976655,0.144189006,0.146871488,0.148206284,0.148963978
4,0.127037822,0.134031483,0.138565483,0.143842365,0.128949203,0.136505668,0.140549222,0.14347703,0.135332984,0.139560916,0.142167055,0.144571523,0.140018901,0.143041227,0.14533702,0.146672341,0.144411611,0.14686967,0.148106754,0.148594908
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,gamma,cost,eps,,,,,,,,,,,,,,,,,
,1,10,0.01,,,,,,,,,,,,,,,,,
