"","iso1","iso2","iso3","iso4","iso5","iso1","iso2","iso3","iso4","iso5","iso1","iso2","iso3","iso4","iso5"
"1",-6.26750237463948,-2.85400250747059,-2.51260852928008,1.62057387929781,-1.23816773645327,-6.26952050705428,-3.26503105469167,-2.24583980675546,1.53813584268811,1.34252606057399,-6.20661092650464,-3.01677931656923,-2.36808016474876,1.73148803773396,1.38072710807732
"2",-6.41951145364607,-2.50043298571928,-2.04074277573662,2.42825937145571,-1.73711994376324,-6.42836500780747,-2.8913888736176,-1.73175183117944,2.2525488334406,1.93762395506763,-6.36104928267429,-2.74891792096798,-1.77656028693562,2.34377355416918,1.96659171899701
"3",-5.67252964523803,-2.16783462714532,-1.64825412026341,2.10415040795033,-1.24377948522595,-5.63591659324364,-2.43974317024391,-1.36267611787479,2.1018623283121,1.48303313830406,-5.4732770138671,-2.2437038498067,-1.2399137837005,2.24298184099224,1.6330279590448
"4",-2.42325642956852,-4.64022735967957,-4.03622374146185,0.889267347305774,1.39062702548684,-2.41513677196043,-4.89848446921216,-3.87807433503861,1.16095647152418,-1.37014166971283,-2.35424296320405,-4.88995033101738,-3.80612683217918,1.24871405058515,-1.4113147934792
"5",-2.43994541223416,-4.2696165938452,-4.42941327834921,1.06688673855121,1.08744784389314,-2.4440952474778,-4.5309154818052,-4.30073731119866,1.33102897100941,-0.979679139343727,-2.25282717066898,-4.54769000032266,-4.13832313319749,1.43571001561142,-1.02239245654008
"6",-2.73079585685552,-3.59660152485318,-4.04083604672141,1.20034192606414,0.829523855326177,-2.68602983446732,-3.68679024033014,-3.91273102841582,1.58783897104862,-0.556439874523389,-2.60777817409332,-3.61687027386069,-3.87793848955799,1.56713563231683,-0.64553917481835
"7",-6.26329956865367,-0.439658559134366,-4.87798798528836,1.3191752201514,-2.00891999588837,-6.18602869722153,-0.945268061437566,-4.89949311779892,1.44115746328319,1.78853699261423,-5.8537328865529,-0.786752705269595,-4.71033510332661,1.60227734550406,2.02823907236742
"8",-5.70238875806116,-0.516460945346036,-4.60247730767497,1.63031711426468,-1.64355584277257,-5.58665135128774,-0.979989633747159,-4.5364523818765,1.80378400541283,1.71845282201343,-5.23758650100125,-0.796450860179163,-4.32695327212671,1.98001951336205,1.93685284265075
"9",-5.26706435181885,-0.627724742346168,-4.04322947980502,1.57022182980662,-1.20203250396307,-5.23648128230483,-1.38883335625802,-4.42933319438089,1.45398265076527,0.625243960824293,-5.17080497684245,-1.25251631052333,-4.31510440270619,1.554302552919,0.398146061628406
"10",-3.33361812910852,-5.11629962421028,-2.04641683964349,1.66850135560203,-0.717371700174635,-3.2361778583463,-5.38045174449026,-1.67914098565326,1.76026179556844,0.780127369081922,-3.21780908194636,-5.25439082776061,-1.65785847260099,1.69521776595707,0.958926394942096
