"","Dim.1","Dim.2","Dim.3","Dim.4"
"2593",-5.15150684393667,-0.950247825370943,-1.69620022880945,0.737854457982057
"2594",-4.9325432883439,-0.958142266252212,-1.72617537354022,0.726089624394298
"2595",-4.41573958326036,-0.97677493909974,-1.79692352071493,0.698321946018723
"2596",-5.08771225414457,1.47146422884178,-1.15037357360148,-1.04573644150966
"2597",-4.86874869854837,1.4635697879606,-1.18034871833216,-1.05750127509728
"2598",-4.35194499346496,1.44493711511309,-1.25109686550689,-1.08526895347284
"2599",-5.30467722182257,-0.394196530392836,-1.48921748239439,-1.64315340381803
"2600",-5.08571366622633,-0.402090971274015,-1.51919262712506,-1.65491823740565
"2601",-4.56890996114293,-0.420723644121527,-1.58994077429979,-1.68268591578121
"2602",-4.97992226124826,0.884107155317775,-1.34273290460217,0.834901882155239
"2603",-4.76095870565206,0.876212714436601,-1.37270804933285,0.823137048567631
"2604",-4.24415500056865,0.857580041589087,-1.44345619650758,0.795369370192069
"2605",-5.00495518286862,1.21752750312197,-1.25112985512175,0.192076597341556
"2606",-4.78599162727242,1.20963306224079,-1.28110499985242,0.180311763753949
"2607",-4.26918792218901,1.19100038939328,-1.35185314702715,0.152544085378386
"2608",-5.03245905844863,0.784539988867466,-1.34088769975777,0.321860207769384
"2609",-4.81349550285243,0.776645547986292,-1.37086284448844,0.310095374181777
"2610",-4.29669179776902,0.758012875138777,-1.44161099166317,0.282327695806214
"2611",-5.0240286093284,0.789481591413791,-1.34381256676854,0.415729692700434
"2612",-4.8050650537322,0.781587150532617,-1.37378771149921,0.403964859112827
"2613",-4.28826134864879,0.762954477685103,-1.44453585867394,0.376197180737264
"2614",-5.31688544293349,-1.1264702979563,-1.65770957625769,-1.02063794251028
"2615",-5.09792188733729,-1.13436473883747,-1.68768472098836,-1.03240277609789
"2616",-4.58111818225388,-1.15299741168498,-1.75843286816309,-1.06017045447345
"2617",-4.70241393605797,-1.07841107266109,-1.39758381380812,0.682256411230219
"2618",-4.55790273487524,-1.08362123254956,-1.41736675969087,0.674491876036996
"2619",-4.31485180754421,-1.09238411170406,-1.4506393593426,0.661432836574574
"2620",-4.6372711814923,1.35670263851131,-0.84922077348652,-1.09951436024463
"2621",-4.49275998030956,1.35149247862284,-0.869003719369277,-1.10727889543785
"2622",-4.24970905297853,1.34272959946834,-0.902276319021006,-1.12033793490027
"2623",-4.86374708265939,-0.559208914650713,-1.19540702087041,-1.75610210219047
"2624",-4.71923588147665,-0.564419074539184,-1.21518996675317,-1.76386663738369
"2625",-4.47618495414562,-0.573181953693685,-1.24846256640489,-1.77692567684612
"2626",-4.52123224146034,0.810101561874374,-1.03588544403267,0.835400567448676
"2627",-4.37672104027761,0.804891401985903,-1.05566838991543,0.827636032255453
"2628",-4.13367011294658,0.796128522831402,-1.08894098956716,0.81457699279303
"2629",-4.51208139300995,1.28565437294693,-0.927058279398429,0.445489560489459
"2630",-4.36757019182722,1.28044421305846,-0.946841225281186,0.437725025296235
"2631",-4.12451926449619,1.27168133390396,-0.980113824932915,0.424665985833813
"2632",-4.56753077460461,0.733248420373535,-1.03166495581623,0.371885928250866
"2633",-4.42301957342187,0.728038260485063,-1.05144790169899,0.364121393057642
"2634",-4.17996864609085,0.719275381330563,-1.08472050135072,0.35106235359522
"2635",-4.56437305470848,0.713442972020501,-1.03791918426823,0.429697650982285
"2636",-4.41986185352575,0.708232812132029,-1.05770213015099,0.421933115789062
"2637",-4.17681092619472,0.699469932977529,-1.09097472980272,0.408874076326639
"2638",-4.86425379342564,-1.23573890081724,-1.35631417680494,-1.05442714135931
"2639",-4.71974259224291,-1.24094906070571,-1.3760971226877,-1.06219167655254
"2640",-4.47669166491188,-1.24971193986021,-1.40936972233942,-1.07525071601496
"2641",-4.18297434113677,-1.17431175507541,-1.06350187456847,0.686909222595165
"2642",-4.09105522822441,-1.1776257769032,-1.07608519559448,0.681970441509016
"2643",-3.83828768996349,-1.18673897559075,-1.11068795641445,0.668389332013914
"2644",-4.11623318312787,1.27062477890892,-0.513576708139496,-1.0863583562259
"2645",-4.02431407021551,1.26731075708113,-0.526160029165504,-1.09129713731205
"2646",-3.77154653195459,1.25819755839358,-0.560762789985478,-1.10487824680715
"2647",-4.33482431829075,-0.617681854614713,-0.857023765596578,-1.67919219326056
"2648",-4.24290520537839,-0.620995876442504,-0.869607086622585,-1.68413097434671
"2649",-3.99013766711747,-0.630109075130054,-0.904209847442559,-1.69771208384181
"2650",-4.008609117258,0.698004787412544,-0.702344838545699,0.776916216786687
"2651",-3.91669000434564,0.694690765584753,-0.714928159571707,0.771977435700538
"2652",-3.66392246608473,0.685577566897203,-0.749530920391681,0.758396326205437
"2653",-3.99640911959558,1.17673081997614,-0.594245411392506,0.419506561992816
"2654",-3.90449000668322,1.17341679814835,-0.606828732418513,0.414567780906667
"2655",-3.6517224684223,1.1643035994608,-0.641431493238487,0.400986671411565
"2656",-4.0595186266683,0.591447582281027,-0.702956491335238,0.290302747475696
"2657",-3.96759951375594,0.588133560453236,-0.715539812361246,0.285363966389548
"2658",-3.71483197549503,0.579020361765686,-0.75014257318122,0.271782856894446
"2659",-4.0485152965572,0.606372551930244,-0.704755139296105,0.403955353448557
"2660",-3.95659618364484,0.603058530102453,-0.717338460322112,0.399016572362408
"2661",-3.70382864538393,0.593945331414903,-0.751941221142087,0.385435462867307
"2662",-4.32771841180292,-1.27119333542486,-1.0161518254747,-0.912163209224715
"2663",-4.23579929889055,-1.27450735725265,-1.0287351465007,-0.917101990310864
"2664",-3.98303176062964,-1.2836205559402,-1.06333790732068,-0.930683099805965
"2665",-4.52587075717074,-1.16984360303539,-0.796949591625425,0.76607443554848
"2666",-4.40526826740079,-1.17419176601173,-0.813459540396993,0.759594506874819
"2667",-4.12935122647468,-1.18413958934593,-0.851231366000113,0.744769582874832
"2668",-4.45959625319233,1.2711428826959,-0.24773829259851,-1.00854362864354
"2669",-4.33899376342238,1.26679471971956,-0.264248241370078,-1.0150235573172
"2670",-4.06307672249627,1.25684689638536,-0.302020066973198,-1.02984848131719
"2671",-4.68205007727595,-0.636619394815095,-0.593940345706489,-1.62640515668719
"2672",-4.56144758750601,-0.640967557791435,-0.610450294478056,-1.63288508536085
"2673",-4.2855305465799,-0.650915381125637,-0.648222120081177,-1.64771000936083
"2674",-4.35113331823241,0.709097924117245,-0.434395550500076,0.853524582491136
"2675",-4.23053082846246,0.704749761140905,-0.450905499271643,0.847044653817476
"2676",-3.95461378753635,0.694801937806704,-0.488677324874763,0.832219729817489
"2677",-4.35864427837836,1.09917340067784,-0.337822520435874,0.357282367310741
