X1,X2,X3,X4,X1.1,X2.1,X3.1,X4.1,X1.2,X2.2,X3.2,X4.2,X1.3,X2.3,X3.3,X4.3,X1.4,X2.4,X3.4,X4.4
0.150586703,0.149342947,0.149294626,0.14935399,0.171654779,0.170463547,0.170338621,0.170478055,0.185463797,0.184492389,0.184354125,0.184496243,0.194953846,0.19417204,0.194096919,0.194235959,0.201724423,0.201131949,0.201181186,0.201332362
0.156966626,0.156896272,0.156963684,0.156968271,0.177363985,0.177278147,0.177392298,0.17739103,0.190207279,0.190134973,0.190238896,0.190238896,0.198822157,0.198756948,0.198872349,0.198872349,0.204961749,0.204915347,0.205030553,0.205030553
0.159073573,0.1591565,0.1591565,0.1591565,0.179100992,0.179216672,0.179229712,0.179229712,0.191790453,0.191950005,0.191968574,0.191968574,0.200266466,0.20044493,0.20045962,0.20045962,0.206156298,0.206342702,0.206350975,0.206350975
0.159858054,0.159877555,0.159877555,0.159877555,0.179761927,0.179810617,0.179810617,0.179810617,0.192436539,0.192546144,0.192546144,0.192546144,0.200927701,0.20106839,0.20106839,0.20106839,0.206845374,0.207003052,0.207003052,0.207003052
,,,,,,,,,,,,,,,,,,,
gamma,cost,eps,,,,,,,,,,,,,,,,,
1,70,0.001,,,,,,,,,,,,,,,,,
