"","Year","Month","LogTotalUsage","LogEconIndex","LogEmployedNum","LogRegularEarnings","LogCPI","LogOilPrice","LogIndustrialIndex","LogImport","LogExport","Industry","Product","OilLocation"
"1",1989,1,1.31908561142644,3.6283329542459,10.001067880875,9.87184207470058,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"礦業","食物類","WTI"
"2",1989,1,1.31908561142644,3.6283329542459,10.001067880875,9.87184207470058,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"礦業","醫療保健類","WTI"
"3",1989,1,1.31908561142644,3.6283329542459,10.001067880875,9.87184207470058,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"礦業","雜項類","WTI"
"4",1989,1,1.31908561142644,3.6283329542459,13.5885007924665,9.72070588990972,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"批發零售","食物類","WTI"
"5",1989,1,1.31908561142644,3.6283329542459,13.5885007924665,9.72070588990972,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"批發零售","醫療保健類","WTI"
"6",1989,1,1.31908561142644,3.6283329542459,13.5885007924665,9.72070588990972,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"批發零售","雜項類","WTI"
"7",1989,1,1.31908561142644,3.6283329542459,11.7885096522239,9.35036314989601,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"住宿餐飲","食物類","WTI"
"8",1989,1,1.31908561142644,3.6283329542459,11.7885096522239,9.35036314989601,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"住宿餐飲","醫療保健類","WTI"
"9",1989,1,1.31908561142644,3.6283329542459,11.7885096522239,9.35036314989601,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"住宿餐飲","雜項類","WTI"
"10",1989,1,1.31908561142644,3.6283329542459,11.2655916748548,10.0462883511678,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"資訊通訊傳播","食物類","WTI"
"11",1989,1,1.31908561142644,3.6283329542459,11.2655916748548,10.0462883511678,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"資訊通訊傳播","醫療保健類","WTI"
"12",1989,1,1.31908561142644,3.6283329542459,11.2655916748548,10.0462883511678,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"資訊通訊傳播","雜項類","WTI"
"13",1989,1,1.31908561142644,3.6283329542459,12.0977243375294,10.0359621369355,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"金融業","食物類","WTI"
"14",1989,1,1.31908561142644,3.6283329542459,12.0977243375294,10.0359621369355,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"金融業","醫療保健類","WTI"
"15",1989,1,1.31908561142644,3.6283329542459,12.0977243375294,10.0359621369355,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"金融業","雜項類","WTI"
"16",1989,1,1.31908561142644,3.6283329542459,11.4609055908981,9.95070505214524,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"專業技術服務","食物類","WTI"
"17",1989,1,1.31908561142644,3.6283329542459,11.4609055908981,9.95070505214524,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"專業技術服務","醫療保健類","WTI"
"18",1989,1,1.31908561142644,3.6283329542459,11.4609055908981,9.95070505214524,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"專業技術服務","雜項類","WTI"
"19",1989,1,1.31908561142644,3.6283329542459,11.4758672120136,9.93047022386602,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"醫療保健","食物類","WTI"
"20",1989,1,1.31908561142644,3.6283329542459,11.4758672120136,9.93047022386602,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"醫療保健","醫療保健類","WTI"
"21",1989,1,1.31908561142644,3.6283329542459,11.4758672120136,9.93047022386602,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"醫療保健","雜項類","WTI"
"22",1989,1,1.31908561142644,3.6283329542459,10.0082979168885,9.48546897835634,3.82428409112014,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"娛樂休閒","食物類","WTI"
"23",1989,1,1.31908561142644,3.6283329542459,10.0082979168885,9.48546897835634,3.98713047791495,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"娛樂休閒","醫療保健類","WTI"
"24",1989,1,1.31908561142644,3.6283329542459,10.0082979168885,9.48546897835634,4.12244599233298,2.89092715918786,3.62620585958588,8.4128588157633,22.400018610168,"娛樂休閒","雜項類","WTI"
"25",1989,2,1.14422279992016,3.62886402170395,9.97240708800073,9.72752572969475,3.84908320565427,2.88870370079547,3.37895177271484,8.15362885573814,22.1356719607476,"礦業","食物類","WTI"
"26",1989,2,1.14422279992016,3.62886402170395,9.97240708800073,9.72752572969475,3.99544461356722,2.88870370079547,3.37895177271484,8.15362885573814,22.1356719607476,"礦業","醫療保健類","WTI"
"27",1989,2,1.14422279992016,3.62886402170395,9.97240708800073,9.72752572969475,4.14946386144318,2.88870370079547,3.37895177271484,8.15362885573814,22.1356719607476,"礦業","雜項類","WTI"
"28",1989,2,1.14422279992016,3.62886402170395,13.5913289680744,9.72537711651364,3.84908320565427,2.88870370079547,3.37895177271484,8.15362885573814,22.1356719607476,"批發零售","食物類","WTI"
